scope,delta_pred_median,delta_ref_median,magnitude_ratio,delta_cluster_ci_lo,delta_cluster_ci_hi,n_pred_active_below_inactive_median,n_pred_active_total,pct_active_below_inactive,n_pred_inactive_above_active_median,n_pred_inactive_total,pct_inactive_above_active
pooled,-0.5601959228515625,-1.51,0.37099067738514074,-1.195995032787323,0.02594578266143785,204,256,79.6875,205,256,80.078125
backbone_boltz,-0.8003172874450684,-1.51,0.5300114486391181,-1.4731437683105468,0.11286118030548063,53,64,82.8125,45,64,70.3125
backbone_chai,-0.8588447570800781,-1.51,0.5687713623046875,-1.6097192764282227,0.07831348180770832,48,64,75.0,52,64,81.25
backbone_of3,-0.40259456634521484,-1.51,0.2666189181094138,-0.9549884676933289,0.5514046430587768,49,64,76.5625,52,64,81.25
backbone_protenix,-0.4372091293334961,-1.51,0.2895424697572822,-1.308142864704132,0.13328375816345214,54,64,84.375,56,64,87.5
