file	sha256	bytes	generator
panel_reference_qc.csv	ad478b8e088be58024e1aee67e6f743a54d6c6df5339cab1bdbe991674875595	350945	unattributed
panel_strict_confornets.csv	c86568549fe4cf8f7e4879c6656e2b48f9c2a532fade5eb8ec92694a6141696a	9536	unattributed
panel_systems.csv	b1a115a1372690fc6ae2d86f2d154f091751c6f08cf3f92f9f68010d5fa1b5f3	106700	unattributed
panel_uniprot.tsv	f0a8ecf82db1498414ebaf2a5a31c23ab737ee47a796f3449b5e570bb0cda422	12565	unattributed
run_registry.tsv	a275c4dd30a3a9440dc9fa559e696e1e4f50389b8ea28dc652c004ed7bb08a8d	27421	run_registry.py
seq_a5null.tsv	7e7cbcab02631a8f12fc43029e8fb24c24a9258f729ecaaef377f3160762546e	3420	unattributed
seq_constructs.tsv	5277b0fe3a33b459afda027739960a11b8f47d0b51072c7dc200880a2a3f8d8a	7418	unattributed
seq_controls.tsv	41f5b4acd1814e825ecadd0d5f274abc98eb5a500d8c9aa381a026443a85640e	55115	unattributed
seq_rungs.tsv	6f89f93594d5a647012b50d933c510bb7a57d8404dac8f2dbf40a15559ea943b	27279	unattributed
seqrec_canonical.fasta	079c01ba5c688c703f1ef6e8617ca748c21e73aded0f37b66980d5f282190007	42590	seqrec_build.py
seqrec_features.tsv	5b4a74ed3afb8f90351ed9c38e577dee06dd438a07f784fc14166bebecd8a59f	71124	seqrec_build.py
seqrec_icl3_audit.tsv	5309b7d50539624d83035160c418287e93686eea6cb612e863c32eed75f84d42	15863	seqrec_icl3_audit.py
seqrec_receptors.tsv	91d005cdae7d6d0542d607f39931716480504faa3189346b1040305b6dcc58e5	33152	seqrec_build.py
seqrec_refs.tsv	9ab13a998a3937099619f266b2a5d052dace7c98eab02929e60d295a0e44d51b	24149	unattributed
seqrec_scoreable.tsv	13a95de53058789416dc26f0519e30e46b39b7bf6d6a0b4a0d3dc5a77a92314e	5990	unattributed
seqrec_trim.tsv	53adf98f2fe2a85932d4dfca17e3f617f6923683c6bd6b6d77932769b6f7fb59	18737	seqrec_trim.py
seqrec_trimmed.fasta	6d7584d4bc0d8f9d6d28de50855310a904b00d6bdf589abc9048bcac9d9380e2	37735	seqrec_trim.py
