receptor_slug	uniprot	receptor_organism	cluster	core32_provisional	chembl_target_id	chembl_pref_name	chembl_organism	n_targets_matched	chembl_release
NK1R	P25103	Homo sapiens (Human)	001_002_029	yes	CHEMBL249	Substance-P receptor	Homo sapiens	1	ChEMBL_37
NPY1R	P25929	Homo sapiens (Human)	001_002_020	yes	CHEMBL4777	Neuropeptide Y receptor type 1	Homo sapiens	1	ChEMBL_37
NPY2R	P49146	Homo sapiens (Human)	001_002_020	no	CHEMBL4018	Neuropeptide Y receptor type 2	Homo sapiens	1	ChEMBL_37
NTR1	P30989	Homo sapiens (Human)	001_002_021	yes	CHEMBL4123	Neurotensin receptor type 1	Homo sapiens	1	ChEMBL_37
OPRD	P41143	Homo sapiens (Human)	001_002_022	yes	CHEMBL236	Delta-type opioid receptor	Homo sapiens	1	ChEMBL_37
OPRK	P41145	Homo sapiens (Human)	001_002_022	no	CHEMBL237	Kappa-type opioid receptor	Homo sapiens	1	ChEMBL_37
OPRM	P42866	Mus musculus (Mouse)	001_002_022	no	CHEMBL2858	Mu-type opioid receptor	Mus musculus	1	ChEMBL_37
OPRX	P41146	Homo sapiens (Human)	001_002_022	no	CHEMBL2014	Nociceptin receptor	Homo sapiens	1	ChEMBL_37
OPSD	P02699	Bos taurus (Bovine)	001_009_001_vert	yes	CHEMBL5739	Rhodopsin	Bos taurus	1	ChEMBL_37
OX2R	O43614	Homo sapiens (Human)	001_002_023	yes	CHEMBL4792	Orexin receptor type 2	Homo sapiens	1	ChEMBL_37
OXYR	P30559	Homo sapiens (Human)	001_002_032	yes	CHEMBL2049	Oxytocin receptor	Homo sapiens	1	ChEMBL_37
PD2R2	Q9Y5Y4	Homo sapiens (Human)	001_004_008	yes	CHEMBL5071	Prostaglandin D2 receptor 2	Homo sapiens	1	ChEMBL_37
PE2R4	P35408	Homo sapiens (Human)	001_004_008	no	CHEMBL1836	Prostaglandin E2 receptor EP4 subtype	Homo sapiens	1	ChEMBL_37
S1PR1	P21453	Homo sapiens (Human)	001_004_004	yes	CHEMBL4333	Sphingosine 1-phosphate receptor 1	Homo sapiens	1	ChEMBL_37
S1PR5	Q9H228	Homo sapiens (Human)	001_004_004	no	CHEMBL2274	Sphingosine 1-phosphate receptor 5	Homo sapiens	1	ChEMBL_37
SSR2	P30874	Homo sapiens (Human)	001_002_028	yes	CHEMBL1804	Somatostatin receptor type 2	Homo sapiens	1	ChEMBL_37
TA2R	P21731	Homo sapiens (Human)	001_004_008	no	CHEMBL2069	Thromboxane A2 receptor	Homo sapiens	1	ChEMBL_37
TSHR	P16473	Homo sapiens (Human)	001_003_003	yes	CHEMBL1963	Thyrotropin receptor	Homo sapiens	1	ChEMBL_37
