slug,verdict,primary_candidate_families,n_primary_candidates,any_annotated_families,n_any_annotated,R1_ct11,R2_ct15,R3_ct21,R4_a5helix,R5_a5plus,R6a_da5,R7_full,any_R1_ct11,any_R2_ct15,any_R3_ct21,any_R4_a5helix,any_R5_a5plus,any_R6a_da5,any_R7_full
LSHR,cognate_ambiguous,Gs,1,Gq/11;Gs,2,SAME,SAME,SAME,SAME,SAME,SAME,SAME,DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS+LEN(2),DIFFERS+LEN(2)
LT4R1,cognate_ambiguous,Gi/o;Gq/11,2,G12/13;Gi/o;Gq/11,3,DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS+LEN(2),DIFFERS+LEN(2),DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS+LEN(3),DIFFERS+LEN(3)
MCHR1,cognate_ambiguous,Gi/o;Gq/11;Gs,3,Gi/o;Gq/11;Gs,3,DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS+LEN(3),DIFFERS+LEN(3),DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS+LEN(3),DIFFERS+LEN(3)
MTR1A,cognate_ambiguous,Gi/o,1,Gi/o;Gq/11,2,SAME,SAME,SAME,SAME,SAME,SAME,SAME,DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS+LEN(2),DIFFERS+LEN(2)
MTR1B,cognate_ambiguous,Gi/o,1,Gi/o;Gq/11,2,SAME,SAME,SAME,SAME,SAME,SAME,SAME,DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS+LEN(2),DIFFERS+LEN(2)
NK1R,cognate_conflicted,Gq/11;Gs,2,G12/13;Gi/o;Gq/11;Gs,4,DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS+LEN(2),DIFFERS+LEN(2),DIFFERS(4),DIFFERS(4),DIFFERS(4),DIFFERS(4),DIFFERS(4),DIFFERS+LEN(4),DIFFERS+LEN(4)
NPY1R,cognate_confident,Gi/o,1,Gi/o,1,SAME,SAME,SAME,SAME,SAME,SAME,SAME,SAME,SAME,SAME,SAME,SAME,SAME,SAME
NPY2R,cognate_ambiguous,Gi/o,1,Gi/o;Gq/11,2,SAME,SAME,SAME,SAME,SAME,SAME,SAME,DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS+LEN(2),DIFFERS+LEN(2)
NTR1,cognate_conflicted,Gi/o;Gq/11,2,G12/13;Gi/o;Gq/11;Gs,4,DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS+LEN(2),DIFFERS+LEN(2),DIFFERS(4),DIFFERS(4),DIFFERS(4),DIFFERS(4),DIFFERS(4),DIFFERS+LEN(4),DIFFERS+LEN(4)
OPRD,cognate_ambiguous,Gi/o,1,G12/13;Gi/o;Gq/11,3,SAME,SAME,SAME,SAME,SAME,SAME,SAME,DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS+LEN(3),DIFFERS+LEN(3)
OPRK,cognate_ambiguous,Gi/o,1,G12/13;Gi/o;Gq/11,3,SAME,SAME,SAME,SAME,SAME,SAME,SAME,DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS+LEN(3),DIFFERS+LEN(3)
OPRM,cognate_ambiguous,Gi/o,1,Gi/o;Gq/11,2,SAME,SAME,SAME,SAME,SAME,SAME,SAME,DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS+LEN(2),DIFFERS+LEN(2)
OPRX,cognate_ambiguous,Gi/o,1,Gi/o;Gq/11,2,SAME,SAME,SAME,SAME,SAME,SAME,SAME,DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS+LEN(2),DIFFERS+LEN(2)
OPSD,cognate_ambiguous,Gi/o,1,Gi/o,1,SAME,SAME,SAME,SAME,SAME,SAME,SAME,SAME,SAME,SAME,SAME,SAME,SAME,SAME
OX2R,cognate_ambiguous,Gi/o;Gq/11;Gs,3,G12/13;Gi/o;Gq/11;Gs,4,DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS+LEN(3),DIFFERS+LEN(3),DIFFERS(4),DIFFERS(4),DIFFERS(4),DIFFERS(4),DIFFERS(4),DIFFERS+LEN(4),DIFFERS+LEN(4)
OXYR,cognate_ambiguous,Gi/o;Gq/11,2,Gi/o;Gq/11,2,DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS+LEN(2),DIFFERS+LEN(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS+LEN(2),DIFFERS+LEN(2)
PD2R2,cognate_confident,Gi/o,1,Gi/o,1,SAME,SAME,SAME,SAME,SAME,SAME,SAME,SAME,SAME,SAME,SAME,SAME,SAME,SAME
PE2R4,cognate_conflicted,G12/13;Gi/o;Gs,3,G12/13;Gi/o;Gq/11;Gs,4,DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS+LEN(3),DIFFERS+LEN(3),DIFFERS(4),DIFFERS(4),DIFFERS(4),DIFFERS(4),DIFFERS(4),DIFFERS+LEN(4),DIFFERS+LEN(4)
S1PR1,cognate_ambiguous,Gi/o,1,G12/13;Gi/o;Gq/11,3,SAME,SAME,SAME,SAME,SAME,SAME,SAME,DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS+LEN(3),DIFFERS+LEN(3)
S1PR5,cognate_ambiguous,G12/13;Gi/o,2,G12/13;Gi/o,2,DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS+LEN(2),DIFFERS+LEN(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS+LEN(2),DIFFERS+LEN(2)
SSR2,cognate_ambiguous,Gi/o,1,G12/13;Gi/o;Gq/11,3,SAME,SAME,SAME,SAME,SAME,SAME,SAME,DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS(3),DIFFERS+LEN(3),DIFFERS+LEN(3)
TA2R,cognate_conflicted,G12/13;Gq/11,2,G12/13;Gq/11,2,DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS+LEN(2),DIFFERS+LEN(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS+LEN(2),DIFFERS+LEN(2)
TSHR,cognate_ambiguous,Gs,1,Gq/11;Gs,2,SAME,SAME,SAME,SAME,SAME,SAME,SAME,DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS(2),DIFFERS+LEN(2),DIFFERS+LEN(2)
