arm,engagement,n,median_plddt_ga_alpha5,mean,lo95,hi95
apo,engaged,0,,,,
apo,non_engaged,0,,,,
cognate,engaged,1995,83.595268056864,81.49588058003624,80.3367124140278,85.1908815364829
cognate,non_engaged,5,69.86938320550051,67.2347946080776,68.03967302162754,69.96224547586743
shuffled,engaged,1837,79.98664209568139,79.6364100088837,78.58171336825326,80.92524848347618
shuffled,non_engaged,163,78.63924094993487,78.51187691207053,69.42548500084774,83.82377886725367
decoy,engaged,1644,70.97482041829936,70.76560974836033,67.8465916059811,73.52780357718639
decoy,non_engaged,356,70.4824893002283,70.34654047658815,65.53979815558094,75.4488084915706
