frame,predicate,cutoff_A,arm,backbone,n,n_engaged,p_engaged,p_engaged_lo95,p_engaged_hi95,p_active_given_engaged,p_agv_lo95,p_agv_hi95,n_engaged_but_inactive
frame_40,two_instrument,12.0,decoy,protenix,2000,687,0.3435,0.2476829268292683,0.4461162280701754,0.7496360989810772,0.566691080776946,0.9055393853978368,172
frame_40,two_instrument,14.0,apo,panel_all,8000,0,0.0,0.0,0.0,,,,0
frame_40,two_instrument,14.0,apo,boltz,2000,0,0.0,0.0,0.0,,,,0
frame_40,two_instrument,14.0,apo,chai,2000,0,0.0,0.0,0.0,,,,0
frame_40,two_instrument,14.0,apo,of3,2000,0,0.0,0.0,0.0,,,,0
frame_40,two_instrument,14.0,apo,protenix,2000,0,0.0,0.0,0.0,,,,0
frame_40,two_instrument,14.0,cognate,panel_all,8000,7612,0.9515,0.8863740220483641,0.9911775466284075,0.8060956384655806,0.6726998688085347,0.9047586797260834,1476
frame_40,two_instrument,14.0,cognate,boltz,2000,1920,0.96,0.8969936046511628,0.999,0.8067708333333333,0.6668217970759777,0.9211908770982532,371
frame_40,two_instrument,14.0,cognate,chai,2000,1831,0.9155,0.8261515151515151,0.9794999999999999,0.744401966138722,0.5798725818533708,0.877268947961942,468
frame_40,two_instrument,14.0,cognate,of3,2000,1910,0.955,0.8851249999999999,0.9961936090225564,0.7958115183246073,0.6454742578627214,0.911313491763741,390
frame_40,two_instrument,14.0,cognate,protenix,2000,1951,0.9755,0.9188188405797101,1.0,0.8733982573039467,0.7341688003714505,0.9740324675324675,247
frame_40,two_instrument,14.0,shuffled,panel_all,8000,6580,0.8225,0.7772502289377289,0.8645014705882353,0.7772036474164133,0.6562241845575533,0.8712022709796962,1466
frame_40,two_instrument,14.0,shuffled,boltz,2000,1709,0.8545,0.7889892857142857,0.9153888888888888,0.7624341720304272,0.6045930649280012,0.89290899562764,406
frame_40,two_instrument,14.0,shuffled,chai,2000,1243,0.6215,0.48734937888198754,0.7377628143133461,0.7674979887369268,0.5900511373946323,0.8961344283119843,289
frame_40,two_instrument,14.0,shuffled,of3,2000,1703,0.8515,0.7863367729831144,0.9087236842105263,0.7052260716382853,0.5753064328704508,0.817750221817945,502
frame_40,two_instrument,14.0,shuffled,protenix,2000,1925,0.9625,0.9313480553724457,0.986675,0.8602597402597403,0.7273877997860829,0.9551648395239409,269
frame_40,two_instrument,14.0,decoy,panel_all,8000,3909,0.488625,0.3851133720930232,0.5879781941031942,0.6339217191097467,0.5035070180189014,0.7410616854192255,1431
frame_40,two_instrument,14.0,decoy,boltz,2000,770,0.385,0.26999285714285715,0.5141498257839722,0.6467532467532467,0.4210691468766133,0.8004955356196051,272
frame_40,two_instrument,14.0,decoy,chai,2000,1145,0.5725,0.44393333333333335,0.6994464285714286,0.6427947598253275,0.42560149362294486,0.8206730893572999,409
frame_40,two_instrument,14.0,decoy,of3,2000,1003,0.5015,0.36186759868421053,0.6344142857142857,0.5004985044865404,0.3284166395256547,0.6814261964735516,501
frame_40,two_instrument,14.0,decoy,protenix,2000,991,0.4955,0.3674933510638298,0.6230972222222222,0.7487386478304743,0.6092373034883956,0.868635651262869,249
frame_40,two_instrument,16.0,apo,panel_all,8000,0,0.0,0.0,0.0,,,,0
frame_40,two_instrument,16.0,apo,boltz,2000,0,0.0,0.0,0.0,,,,0
frame_40,two_instrument,16.0,apo,chai,2000,0,0.0,0.0,0.0,,,,0
frame_40,two_instrument,16.0,apo,of3,2000,0,0.0,0.0,0.0,,,,0
frame_40,two_instrument,16.0,apo,protenix,2000,0,0.0,0.0,0.0,,,,0
frame_40,two_instrument,16.0,cognate,panel_all,8000,7946,0.99325,0.9848836517165006,0.999625,0.8073244399697961,0.6787011491444414,0.9028560647473439,1531
frame_40,two_instrument,16.0,cognate,boltz,2000,1993,0.9965,0.988320652173913,1.0,0.8128449573507276,0.673846159939481,0.9230888429752065,373
frame_40,two_instrument,16.0,cognate,chai,2000,1977,0.9885,0.964,1.0,0.7481031866464339,0.5910995276930441,0.8788480392156862,498
frame_40,two_instrument,16.0,cognate,of3,2000,1976,0.988,0.9729941489361702,1.0,0.7909919028340081,0.6464639710136679,0.9059595115098785,413
frame_40,two_instrument,16.0,cognate,protenix,2000,2000,1.0,1.0,1.0,0.8765,0.7403984962406015,0.975,247
frame_40,two_instrument,16.0,shuffled,panel_all,8000,7328,0.916,0.870365625,0.9554217854217855,0.7654203056768559,0.6465723415521251,0.8550696554637156,1719
frame_40,two_instrument,16.0,shuffled,boltz,2000,1835,0.9175,0.8512794117647059,0.9711138211382114,0.7667574931880109,0.6130576543613334,0.8972562819291364,428
frame_40,two_instrument,16.0,shuffled,chai,2000,1675,0.8375,0.7123477443609022,0.9391702127659575,0.7564179104477612,0.6041537746017751,0.8751317455927096,408
frame_40,two_instrument,16.0,shuffled,of3,2000,1853,0.9265,0.8689923913043478,0.9714303571428571,0.6778197517539126,0.5402014418999153,0.7990180866066763,597
frame_40,two_instrument,16.0,shuffled,protenix,2000,1965,0.9825,0.9556084010840108,0.9993562618595826,0.8544529262086514,0.7168888003417615,0.9539692064726861,286
frame_40,two_instrument,16.0,decoy,panel_all,8000,4677,0.584625,0.47470248917748914,0.6926266826923078,0.6298909557408595,0.5045721952934277,0.733334007687639,1731
frame_40,two_instrument,16.0,decoy,boltz,2000,953,0.4765,0.3567033591731266,0.6097785749628897,0.6264428121720882,0.43707647814415707,0.7703348393415689,356
frame_40,two_instrument,16.0,decoy,chai,2000,1419,0.7095,0.5663267676767677,0.8294800853485065,0.6356589147286822,0.43118303571428573,0.789315689661647,517
frame_40,two_instrument,16.0,decoy,of3,2000,1105,0.5525,0.4010398293029872,0.7000657894736841,0.502262443438914,0.31852084831056793,0.6877055079356748,550
frame_40,two_instrument,16.0,decoy,protenix,2000,1200,0.6,0.4733292682926829,0.7302978021978023,0.7433333333333333,0.6152317842348517,0.853723910605356,308
frame_40,two_instrument,18.0,apo,panel_all,8000,0,0.0,0.0,0.0,,,,0
frame_40,two_instrument,18.0,apo,boltz,2000,0,0.0,0.0,0.0,,,,0
frame_40,two_instrument,18.0,apo,chai,2000,0,0.0,0.0,0.0,,,,0
frame_40,two_instrument,18.0,apo,of3,2000,0,0.0,0.0,0.0,,,,0
frame_40,two_instrument,18.0,apo,protenix,2000,0,0.0,0.0,0.0,,,,0
frame_40,two_instrument,18.0,cognate,panel_all,8000,7961,0.995125,0.9891446566110398,1.0,0.805928903404095,0.6767764874909734,0.9016355255602027,1545
frame_40,two_instrument,18.0,cognate,boltz,2000,1996,0.998,0.9933260869565217,1.0,0.8121242484969939,0.6724319664492079,0.9212667353244077,375
frame_40,two_instrument,18.0,cognate,chai,2000,1984,0.992,0.9759846153846153,1.0,0.7454637096774194,0.5888683944474736,0.875910397700048,505
frame_40,two_instrument,18.0,cognate,of3,2000,1981,0.9905,0.9766642857142858,1.0,0.7889954568399798,0.6437375175165778,0.9059595115098785,418
frame_40,two_instrument,18.0,cognate,protenix,2000,2000,1.0,1.0,1.0,0.8765,0.7403984962406015,0.975,247
frame_40,two_instrument,18.0,shuffled,panel_all,8000,7603,0.950375,0.9120670731707318,0.9820957462253194,0.7590424832303039,0.6414782067469877,0.8482277978865514,1832
frame_40,two_instrument,18.0,shuffled,boltz,2000,1908,0.954,0.9038969833119385,0.9897567567567568,0.7672955974842768,0.6157882200718021,0.8921174114628782,444
frame_40,two_instrument,18.0,shuffled,chai,2000,1811,0.9055,0.8019512195121952,0.9963157894736843,0.7283268912203202,0.5693215962614615,0.856027924070886,492
frame_40,two_instrument,18.0,shuffled,of3,2000,1891,0.9455,0.8902267441860464,0.986316431322208,0.6774193548387096,0.5373868255728012,0.8021750542308498,610
frame_40,two_instrument,18.0,shuffled,protenix,2000,1993,0.9965,0.9917063008130081,1.0,0.8564977420973406,0.721386017482816,0.954217948668991,286
frame_40,two_instrument,18.0,decoy,panel_all,8000,5190,0.64875,0.5390105860433605,0.7597567567567567,0.6169556840077072,0.4971093530375308,0.7208381878229206,1988
frame_40,two_instrument,18.0,decoy,boltz,2000,1128,0.564,0.4289861111111111,0.6978406098406098,0.5797872340425532,0.4068124591275704,0.7246566777901633,474
frame_40,two_instrument,18.0,decoy,chai,2000,1572,0.786,0.6365571428571428,0.9056523867809056,0.6393129770992366,0.4406664048024232,0.796560563223487,567
frame_40,two_instrument,18.0,decoy,of3,2000,1183,0.5915,0.4405247858017136,0.7380094594594594,0.4945054945054945,0.3175619782919309,0.6773574437300018,598
frame_40,two_instrument,18.0,decoy,protenix,2000,1307,0.6535,0.5276842105263158,0.7813531344792719,0.7329762815608263,0.6097474892395983,0.8350075014596436,349
frame_40,two_instrument,20.0,apo,panel_all,8000,0,0.0,0.0,0.0,,,,0
