adjacent_pair,backbone,axis,median_low,median_high,median_shift,iqr_low,iqr_high,pooled_iqr,shift_over_iqr_ratio,n_low,n_high
apo->decoy,boltz,d_npxxy_y558_y753_oh,10.57962593129145,7.951548546228509,-2.62807738506294,3.244158628657919,6.525174865635698,5.152789159038989,-0.5100300640969917,1800,1800
decoy->shuffled,boltz,d_npxxy_y558_y753_oh,7.951548546228509,4.470351657534851,-3.481196888693658,6.525174865635698,1.3614645112242174,4.713358284835073,-0.7385810028264104,1800,1800
shuffled->cognate,boltz,d_npxxy_y558_y753_oh,4.470351657534851,4.500363025404875,0.030011367870023342,1.3614645112242174,1.0655638979781474,1.2224999051119352,0.02454917807725754,1800,1800
apo->decoy,chai,d_npxxy_y558_y753_oh,9.736982580312208,4.668489077467152,-5.068493502845056,7.5726878664936175,5.485729235065002,6.612065742405565,-0.7665521941711767,1800,1800
decoy->shuffled,chai,d_npxxy_y558_y753_oh,4.668489077467152,4.356968953943735,-0.31152012352341707,5.485729235065002,4.377016459997121,4.962433794597797,-0.06277567347347666,1800,1800
shuffled->cognate,chai,d_npxxy_y558_y753_oh,4.356968953943735,4.30617021422038,-0.05079873972335491,4.377016459997121,1.0169589897856222,3.1774579995643935,-0.015987226182161668,1800,1800
apo->decoy,of3,d_npxxy_y558_y753_oh,9.901224000148185,9.377149309366697,-0.5240746907814877,2.1973650951881645,6.851369697717825,5.087714619372697,-0.10300787878037562,1800,1800
decoy->shuffled,of3,d_npxxy_y558_y753_oh,9.377149309366697,5.105823984356524,-4.271325325010173,6.851369697717825,5.18207205614919,6.074336899198477,-0.7031755722297497,1800,1800
shuffled->cognate,of3,d_npxxy_y558_y753_oh,5.105823984356524,4.49128470353711,-0.6145392808194146,5.18207205614919,2.424722754941386,4.0455624598721025,-0.15190453414451616,1800,1800
apo->decoy,protenix,d_npxxy_y558_y753_oh,10.510590149090227,4.561791270417512,-5.948798878672715,1.980112209206439,5.84940685354109,4.3667152929462825,-1.3623051835511308,1800,1800
decoy->shuffled,protenix,d_npxxy_y558_y753_oh,4.561791270417512,4.08703313268789,-0.47475813772962194,5.84940685354109,0.629883705854942,4.160066947848017,-0.11412271573543116,1800,1800
shuffled->cognate,protenix,d_npxxy_y558_y753_oh,4.08703313268789,4.111019273340571,0.023986140652681343,0.629883705854942,0.5264927487246194,0.5804946586150299,0.04132017460747795,1800,1800
apo->decoy,boltz,d_gpcrdb_tm6_tilt_246_637_ca,12.079017351033846,16.22623998683827,4.1472226358044235,1.5193551263625906,4.750837822621035,3.5269604489454416,1.1758630968046266,2000,2000
decoy->shuffled,boltz,d_gpcrdb_tm6_tilt_246_637_ca,16.22623998683827,17.44443897456118,1.2181989877229107,4.750837822621035,1.0007710520802071,3.4330746216422607,0.3548419775216443,2000,2000
shuffled->cognate,boltz,d_gpcrdb_tm6_tilt_246_637_ca,17.44443897456118,17.325644023324756,-0.11879495123642414,1.0007710520802071,0.8691521220708367,0.9372748022810501,-0.1267450601971933,2000,2000
apo->decoy,chai,d_gpcrdb_tm6_tilt_246_637_ca,12.68328857961713,16.915638470252407,4.232349890635277,5.019832871407473,5.539076633604676,5.285834466279109,0.800696638843967,2000,2000
decoy->shuffled,chai,d_gpcrdb_tm6_tilt_246_637_ca,16.915638470252407,17.828918853361678,0.9132803831092708,5.539076633604676,5.29752441603366,5.4196464317987605,0.16851290847144,2000,2000
shuffled->cognate,chai,d_gpcrdb_tm6_tilt_246_637_ca,17.828918853361678,17.525496440205853,-0.3034224131558254,5.29752441603366,1.073684610084964,3.8220782030464835,-0.07938676213217588,2000,2000
apo->decoy,of3,d_gpcrdb_tm6_tilt_246_637_ca,12.361431849027717,16.074471462899794,3.713039613872077,1.7710622908363316,5.380665067957674,4.005509843425827,0.9269830206424842,2000,2000
decoy->shuffled,of3,d_gpcrdb_tm6_tilt_246_637_ca,16.074471462899794,17.619826249605932,1.5453547867061381,5.380665067957674,1.565662171667359,3.9625026567391792,0.38999463737340195,2000,2000
shuffled->cognate,of3,d_gpcrdb_tm6_tilt_246_637_ca,17.619826249605932,17.546670989462868,-0.07315526014306428,1.565662171667359,0.8118984578473736,1.2470920458500838,-0.058660674155128455,2000,2000
apo->decoy,protenix,d_gpcrdb_tm6_tilt_246_637_ca,11.94877882251851,16.952277106312916,5.003498283794407,0.7243166115274242,5.151559893880426,3.678532580661199,1.3601886551443978,2000,2000
decoy->shuffled,protenix,d_gpcrdb_tm6_tilt_246_637_ca,16.952277106312916,17.691772404139783,0.739495297826867,5.151559893880426,0.6699798770242005,3.6733800767041975,0.20131194768452912,2000,2000
shuffled->cognate,protenix,d_gpcrdb_tm6_tilt_246_637_ca,17.691772404139783,17.53110315848,-0.1606692456597827,0.6699798770242005,0.7534600841604053,0.7129428918364948,-0.22536061092622592,2000,2000
