receptor,arm,backbone,donor_ga_identity,donor_ga_class,cognate_ga_identity,cognate_ga_class
MCHR1,apo,chai,,,alphai1,Gi
MCHR1,apo,of3,,,alphai1,Gi
MCHR1,apo,protenix,,,alphai1,Gi
MCHR1,cognate,boltz,alphai1,Gi,alphai1,Gi
MCHR1,cognate,chai,alphai1,Gi,alphai1,Gi
MCHR1,cognate,of3,alphai1,Gi,alphai1,Gi
MCHR1,cognate,protenix,alphai1,Gi,alphai1,Gi
MCHR1,decoy,boltz,mchr1_decoy,Gi_scaffold_scrambled,alphai1,Gi
MCHR1,decoy,chai,mchr1_decoy,Gi_scaffold_scrambled,alphai1,Gi
MCHR1,decoy,of3,mchr1_decoy,Gi_scaffold_scrambled,alphai1,Gi
MCHR1,decoy,protenix,mchr1_decoy,Gi_scaffold_scrambled,alphai1,Gi
MCHR1,shuffled,boltz,alphas,Gs,alphai1,Gi
MCHR1,shuffled,chai,alphas,Gs,alphai1,Gi
MCHR1,shuffled,of3,alphas,Gs,alphai1,Gi
MCHR1,shuffled,protenix,alphas,Gs,alphai1,Gi
NPY1R,apo,boltz,,,alphai1,Gi
NPY1R,apo,chai,,,alphai1,Gi
NPY1R,apo,of3,,,alphai1,Gi
NPY1R,apo,protenix,,,alphai1,Gi
NPY1R,cognate,boltz,alphai1,Gi,alphai1,Gi
NPY1R,cognate,chai,alphai1,Gi,alphai1,Gi
NPY1R,cognate,of3,alphai1,Gi,alphai1,Gi
NPY1R,cognate,protenix,alphai1,Gi,alphai1,Gi
NPY1R,decoy,boltz,npy1r_decoy,Gi_scaffold_scrambled,alphai1,Gi
NPY1R,decoy,chai,npy1r_decoy,Gi_scaffold_scrambled,alphai1,Gi
NPY1R,decoy,of3,npy1r_decoy,Gi_scaffold_scrambled,alphai1,Gi
NPY1R,decoy,protenix,npy1r_decoy,Gi_scaffold_scrambled,alphai1,Gi
NPY1R,shuffled,boltz,alphas,Gs,alphai1,Gi
NPY1R,shuffled,chai,alphas,Gs,alphai1,Gi
NPY1R,shuffled,of3,alphas,Gs,alphai1,Gi
NPY1R,shuffled,protenix,alphas,Gs,alphai1,Gi
NPY2R,apo,boltz,,,alphai1,Gi
NPY2R,apo,chai,,,alphai1,Gi
NPY2R,apo,of3,,,alphai1,Gi
NPY2R,apo,protenix,,,alphai1,Gi
NPY2R,cognate,boltz,alphai1,Gi,alphai1,Gi
NPY2R,cognate,chai,alphai1,Gi,alphai1,Gi
NPY2R,cognate,of3,alphai1,Gi,alphai1,Gi
NPY2R,cognate,protenix,alphai1,Gi,alphai1,Gi
NPY2R,decoy,boltz,npy2r_decoy,Gi_scaffold_scrambled,alphai1,Gi
NPY2R,decoy,chai,npy2r_decoy,Gi_scaffold_scrambled,alphai1,Gi
NPY2R,decoy,of3,npy2r_decoy,Gi_scaffold_scrambled,alphai1,Gi
NPY2R,decoy,protenix,npy2r_decoy,Gi_scaffold_scrambled,alphai1,Gi
NPY2R,shuffled,boltz,alphas,Gs,alphai1,Gi
NPY2R,shuffled,chai,alphas,Gs,alphai1,Gi
NPY2R,shuffled,of3,alphas,Gs,alphai1,Gi
NPY2R,shuffled,protenix,alphas,Gs,alphai1,Gi
OPRD,apo,boltz,,,alphai1,Gi
OPRD,apo,chai,,,alphai1,Gi
OPRD,apo,of3,,,alphai1,Gi
OPRD,apo,protenix,,,alphai1,Gi
OPRD,cognate,boltz,alphai1,Gi,alphai1,Gi
OPRD,cognate,chai,alphai1,Gi,alphai1,Gi
OPRD,cognate,of3,alphai1,Gi,alphai1,Gi
OPRD,cognate,protenix,alphai1,Gi,alphai1,Gi
OPRD,decoy,boltz,oprd_decoy,Gi_scaffold_scrambled,alphai1,Gi
OPRD,decoy,chai,oprd_decoy,Gi_scaffold_scrambled,alphai1,Gi
OPRD,decoy,of3,oprd_decoy,Gi_scaffold_scrambled,alphai1,Gi
OPRD,decoy,protenix,oprd_decoy,Gi_scaffold_scrambled,alphai1,Gi
OPRD,shuffled,boltz,alphas,Gs,alphai1,Gi
OPRD,shuffled,chai,alphas,Gs,alphai1,Gi
OPRD,shuffled,of3,alphas,Gs,alphai1,Gi
OPRD,shuffled,protenix,alphas,Gs,alphai1,Gi
OPRK,apo,boltz,,,alphai1,Gi
OPRK,apo,chai,,,alphai1,Gi
OPRK,apo,of3,,,alphai1,Gi
OPRK,apo,protenix,,,alphai1,Gi
OPRK,cognate,boltz,alphai1,Gi,alphai1,Gi
OPRK,cognate,chai,alphai1,Gi,alphai1,Gi
OPRK,cognate,of3,alphai1,Gi,alphai1,Gi
OPRK,cognate,protenix,alphai1,Gi,alphai1,Gi
OPRK,decoy,boltz,oprk_decoy,Gi_scaffold_scrambled,alphai1,Gi
OPRK,decoy,chai,oprk_decoy,Gi_scaffold_scrambled,alphai1,Gi
OPRK,decoy,of3,oprk_decoy,Gi_scaffold_scrambled,alphai1,Gi
OPRK,decoy,protenix,oprk_decoy,Gi_scaffold_scrambled,alphai1,Gi
OPRK,shuffled,boltz,alphas,Gs,alphai1,Gi
OPRK,shuffled,chai,alphas,Gs,alphai1,Gi
OPRK,shuffled,of3,alphas,Gs,alphai1,Gi
OPRK,shuffled,protenix,alphas,Gs,alphai1,Gi
OPRX,apo,boltz,,,alphai1,Gi
OPRX,apo,chai,,,alphai1,Gi
OPRX,apo,of3,,,alphai1,Gi
OPRX,apo,protenix,,,alphai1,Gi
OPRX,cognate,boltz,alphai1,Gi,alphai1,Gi
OPRX,cognate,chai,alphai1,Gi,alphai1,Gi
OPRX,cognate,of3,alphai1,Gi,alphai1,Gi
OPRX,cognate,protenix,alphai1,Gi,alphai1,Gi
OPRX,decoy,boltz,oprx_decoy,Gi_scaffold_scrambled,alphai1,Gi
OPRX,decoy,chai,oprx_decoy,Gi_scaffold_scrambled,alphai1,Gi
OPRX,decoy,of3,oprx_decoy,Gi_scaffold_scrambled,alphai1,Gi
OPRX,decoy,protenix,oprx_decoy,Gi_scaffold_scrambled,alphai1,Gi
OPRX,shuffled,boltz,alphas,Gs,alphai1,Gi
OPRX,shuffled,chai,alphas,Gs,alphai1,Gi
OPRX,shuffled,of3,alphas,Gs,alphai1,Gi
OPRX,shuffled,protenix,alphas,Gs,alphai1,Gi
OPSD,apo,boltz,,,alphat,Gt
OPSD,apo,chai,,,alphat,Gt
OPSD,apo,of3,,,alphat,Gt
OPSD,apo,protenix,,,alphat,Gt
OPSD,cognate,boltz,alphat,Gt,alphat,Gt
OPSD,cognate,chai,alphat,Gt,alphat,Gt
OPSD,cognate,of3,alphat,Gt,alphat,Gt
OPSD,cognate,protenix,alphat,Gt,alphat,Gt
OPSD,decoy,boltz,opsd_decoy,Gt_scaffold_scrambled,alphat,Gt
OPSD,decoy,chai,opsd_decoy,Gt_scaffold_scrambled,alphat,Gt
OPSD,decoy,of3,opsd_decoy,Gt_scaffold_scrambled,alphat,Gt
OPSD,decoy,protenix,opsd_decoy,Gt_scaffold_scrambled,alphat,Gt
OPSD,shuffled,boltz,alphas,Gs,alphat,Gt
OPSD,shuffled,chai,alphas,Gs,alphat,Gt
OPSD,shuffled,of3,alphas,Gs,alphat,Gt
OPSD,shuffled,protenix,alphas,Gs,alphat,Gt
OX2R,apo,boltz,,,alphaq,Gq
OX2R,apo,chai,,,alphaq,Gq
OX2R,apo,of3,,,alphaq,Gq
OX2R,apo,protenix,,,alphaq,Gq
OX2R,cognate,boltz,alphaq,Gq,alphaq,Gq
OX2R,cognate,chai,alphaq,Gq,alphaq,Gq
OX2R,cognate,of3,alphaq,Gq,alphaq,Gq
OX2R,cognate,protenix,alphaq,Gq,alphaq,Gq
OX2R,decoy,boltz,ox2r_decoy,Gq_scaffold_scrambled,alphaq,Gq
OX2R,decoy,chai,ox2r_decoy,Gq_scaffold_scrambled,alphaq,Gq
OX2R,decoy,of3,ox2r_decoy,Gq_scaffold_scrambled,alphaq,Gq
OX2R,decoy,protenix,ox2r_decoy,Gq_scaffold_scrambled,alphaq,Gq
OX2R,shuffled,boltz,alphas,Gs,alphaq,Gq
OX2R,shuffled,chai,alphas,Gs,alphaq,Gq
OX2R,shuffled,of3,alphas,Gs,alphaq,Gq
OX2R,shuffled,protenix,alphas,Gs,alphaq,Gq
