frame,backbone,contrast,scale,term_estimate,term_share,total_apo_to_cognate,ci_lo,ci_hi
all_40,boltz,delta_occupancy_apo_to_decoy,probability,0.3595,0.5161521895190236,0.6965,0.238416081871345,0.479559011627907
all_40,boltz,delta_a5ct_sequence_decoy_to_shuffled,probability,0.2775,0.39842067480258436,0.6965,0.17743023255813958,0.381051219512195
all_40,boltz,delta_correct_family_shuffled_to_cognate,probability,0.0595,0.08542713567839195,0.6965,-0.005958510638297859,0.16310628019323672
all_40,boltz,delta_occupancy_apo_to_decoy,logit,1.9444190832626882,0.5549488349254682,3.5037808188638353,1.2630586643122126,3.140780227963837
all_40,boltz,delta_a5ct_sequence_decoy_to_shuffled,logit,1.2100521742473245,0.345356127224792,3.5037808188638353,0.77427913876769,1.8362295797763872
all_40,boltz,delta_correct_family_shuffled_to_cognate,logit,0.3493095613538224,0.0996950378497398,3.5037808188638353,-0.03521787306968939,0.9671205632998834
all_40,chai,delta_occupancy_apo_to_decoy,probability,0.25900000000000006,0.5774804905239689,0.44850000000000007,0.1144423076923077,0.4108104878048781
all_40,chai,delta_a5ct_sequence_decoy_to_shuffled,probability,0.10949999999999993,0.24414715719063526,0.44850000000000007,0.03351351351351361,0.2021276315789474
all_40,chai,delta_correct_family_shuffled_to_cognate,probability,0.08000000000000007,0.17837235228539589,0.44850000000000007,-0.03676308139534885,0.21689722222222224
all_40,chai,delta_occupancy_apo_to_decoy,logit,1.0912029548227866,0.5642488640609634,1.9339036803180685,0.48078412049423336,1.8873992479085497
all_40,chai,delta_a5ct_sequence_decoy_to_shuffled,logit,0.4603961511056507,0.23806570916185935,1.9339036803180685,0.15235863968024924,0.8941788063357987
all_40,chai,delta_correct_family_shuffled_to_cognate,logit,0.38230457438963106,0.1976854267771772,1.9339036803180685,-0.19943777802030577,1.1047152470114545
all_40,of3,delta_occupancy_apo_to_decoy,probability,0.2995,0.4388278388278388,0.6825,0.18617857142857142,0.4282733142037302
all_40,of3,delta_a5ct_sequence_decoy_to_shuffled,probability,0.24999999999999994,0.3663003663003662,0.6825,0.16664285714285712,0.33272853535353536
all_40,of3,delta_correct_family_shuffled_to_cognate,probability,0.133,0.19487179487179487,0.6825,0.05940030395136774,0.2031097560975609
all_40,of3,delta_occupancy_apo_to_decoy,logit,1.7966663702892842,0.5158662191771622,3.482814542799634,1.106497574519319,2.504215681190853
all_40,of3,delta_a5ct_sequence_decoy_to_shuffled,logit,1.0241713296902426,0.29406427390962087,3.482814542799634,0.69194304571796,1.4159628178883847
all_40,of3,delta_correct_family_shuffled_to_cognate,logit,0.6619768428201075,0.19006950691321692,3.482814542799634,0.29915775340666595,1.1963904980132591
all_40,protenix,delta_occupancy_apo_to_decoy,probability,0.522,0.6428571428571429,0.8119999999999999,0.3960833333333333,0.6468467283072546
all_40,protenix,delta_a5ct_sequence_decoy_to_shuffled,probability,0.26849999999999996,0.33066502463054187,0.8119999999999999,0.16159298584298587,0.378472972972973
all_40,protenix,delta_correct_family_shuffled_to_cognate,probability,0.021499999999999964,0.026477832512315228,0.8119999999999999,-0.0010533428165007575,0.06171428571428561
all_40,protenix,delta_occupancy_apo_to_decoy,logit,3.0239310755422015,0.6525374054949074,4.634111470205674,1.9956611966026883,8.4574240850771
all_40,protenix,delta_a5ct_sequence_decoy_to_shuffled,logit,1.4248525728864014,0.3074705004502541,4.634111470205674,0.8302413153801522,2.596010860540487
all_40,protenix,delta_correct_family_shuffled_to_cognate,logit,0.18532782177707108,0.039992094054838466,4.634111470205674,-0.01112838635748803,1.0594442195298575
all_40,panel,delta_occupancy_apo_to_decoy,probability,0.36000000000000004,0.5455578708088654,0.659875,0.2811107723577236,0.4265274086378737
