backbone,axis,sigma_err,var_ref,var_err,slope_ols,slope_corrected,unstable
boltz,tilt,0.0,1.3703249111057265,0.0,-0.2979084598338442,-0.2979084598338442,False
boltz,tilt,0.1,1.3703249111057265,0.010000000000000002,-0.2979084598338442,-0.3000984400172674,False
boltz,tilt,0.2,1.3703249111057265,0.04000000000000001,-0.2979084598338442,-0.306865924505726,False
boltz,tilt,0.30000000000000004,1.3703249111057265,0.09000000000000002,-0.2979084598338442,-0.3188498327248009,False
boltz,tilt,0.4,1.3703249111057265,0.16000000000000003,-0.2979084598338442,-0.3372907390351118,False
boltz,tilt,0.5,1.3703249111057265,0.25,-0.2979084598338442,-0.3643865986489085,False
boltz,tilt,0.6000000000000001,1.3703249111057265,0.3600000000000001,-0.2979084598338442,-0.4040595052661595,False
boltz,tilt,0.7000000000000001,1.3703249111057265,0.4900000000000001,-0.2979084598338442,-0.4637280833353904,False
boltz,tilt,0.8,1.3703249111057265,0.6400000000000001,-0.2979084598338442,-0.5589722841596435,False
boltz,tilt,0.9,1.3703249111057265,0.81,-0.2979084598338442,-0.728561903367577,False
boltz,tilt,1.0,1.3703249111057265,1.0,-0.2979084598338442,-1.102360039783842,True
boltz,tilt,1.1,1.3703249111057265,1.2100000000000002,-0.2979084598338442,-2.546275441065101,True
boltz,tilt,1.2000000000000002,1.3703249111057265,1.4400000000000004,-0.2979084598338442,,True
boltz,tilt,1.3,1.3703249111057265,1.6900000000000002,-0.2979084598338442,,True
boltz,tilt,1.4000000000000001,1.3703249111057265,1.9600000000000004,-0.2979084598338442,,True
boltz,tilt,1.5,1.3703249111057265,2.25,-0.2979084598338442,,True
boltz,tilt,1.6,1.3703249111057265,2.5600000000000005,-0.2979084598338442,,True
boltz,tilt,1.7000000000000002,1.3703249111057265,2.8900000000000006,-0.2979084598338442,,True
boltz,tilt,1.8,1.3703249111057265,3.24,-0.2979084598338442,,True
boltz,tilt,1.9000000000000001,1.3703249111057265,3.6100000000000003,-0.2979084598338442,,True
boltz,tilt,2.0,1.3703249111057265,4.0,-0.2979084598338442,,True
boltz,npxxy,0.0,27.27187972438473,0.0,0.0421693230431286,0.042169323043128606,False
boltz,npxxy,0.1,27.27187972438473,0.010000000000000002,0.0421693230431286,0.042184791280634404,False
boltz,npxxy,0.2,27.27187972438473,0.04000000000000001,0.0421693230431286,0.04223126415548651,False
boltz,npxxy,0.30000000000000004,27.27187972438473,0.09000000000000002,0.0421693230431286,0.0423089469069807,False
boltz,npxxy,0.4,27.27187972438473,0.16000000000000003,0.0421693230431286,0.04241818412378736,False
boltz,npxxy,0.5,27.27187972438473,0.25,0.0421693230431286,0.04255946358362064,False
boltz,npxxy,0.6000000000000001,27.27187972438473,0.3600000000000001,0.0421693230431286,0.04273342174046972,False
boltz,npxxy,0.7000000000000001,27.27187972438473,0.4900000000000001,0.0421693230431286,0.04294085097558808,False
boltz,npxxy,0.8,27.27187972438473,0.6400000000000001,0.0421693230431286,0.04318270876831612,False
boltz,npxxy,0.9,27.27187972438473,0.81,0.0421693230431286,0.043460128988159714,False
boltz,npxxy,1.0,27.27187972438473,1.0,0.0421693230431286,0.04377443556212314,False
boltz,npxxy,1.1,27.27187972438473,1.2100000000000002,0.0421693230431286,0.04412715883324793,False
boltz,npxxy,1.2000000000000002,27.27187972438473,1.4400000000000004,0.0421693230431286,0.04452005500030721,False
boltz,npxxy,1.3,27.27187972438473,1.6900000000000002,0.0421693230431286,0.04495512911800262,False
boltz,npxxy,1.4000000000000001,27.27187972438473,1.9600000000000004,0.0421693230431286,0.04543466224608427,False
boltz,npxxy,1.5,27.27187972438473,2.25,0.0421693230431286,0.04596124347005698,False
boltz,npxxy,1.6,27.27187972438473,2.5600000000000005,0.0421693230431286,0.04653780768267971,False
boltz,npxxy,1.7000000000000002,27.27187972438473,2.8900000000000006,0.0421693230431286,0.04716768022363582,False
boltz,npxxy,1.8,27.27187972438473,3.24,0.0421693230431286,0.04785462973684936,False
boltz,npxxy,1.9000000000000001,27.27187972438473,3.6100000000000003,0.0421693230431286,0.04860293093729825,False
boltz,npxxy,2.0,27.27187972438473,4.0,0.0421693230431286,0.049417439403740895,False
chai,tilt,0.0,1.3703249111057265,0.0,-0.6593934230211177,-0.6593934230211177,False
chai,tilt,0.1,1.3703249111057265,0.010000000000000002,-0.6593934230211177,-0.6642407460219524,False
chai,tilt,0.2,1.3703249111057265,0.04000000000000001,-0.6593934230211177,-0.6792199606591464,False
chai,tilt,0.30000000000000004,1.3703249111057265,0.09000000000000002,-0.6593934230211177,-0.7057452572759462,False
chai,tilt,0.4,1.3703249111057265,0.16000000000000003,-0.6593934230211177,-0.7465625349804789,False
chai,tilt,0.5,1.3703249111057265,0.25,-0.6593934230211177,-0.806536768778358,False
chai,tilt,0.6000000000000001,1.3703249111057265,0.3600000000000001,-0.6593934230211177,-0.894349158228919,False
chai,tilt,0.7000000000000001,1.3703249111057265,0.4900000000000001,-0.6593934230211177,-1.0264201573600524,False
chai,tilt,0.8,1.3703249111057265,0.6400000000000001,-0.6593934230211177,-1.2372345788083154,False
chai,tilt,0.9,1.3703249111057265,0.81,-0.6593934230211177,-1.6126058575586313,False
chai,tilt,1.0,1.3703249111057265,1.0,-0.6593934230211177,-2.439974213690269,True
chai,tilt,1.1,1.3703249111057265,1.2100000000000002,-0.6593934230211177,-5.6359503183460085,True
chai,tilt,1.2000000000000002,1.3703249111057265,1.4400000000000004,-0.6593934230211177,,True
chai,tilt,1.3,1.3703249111057265,1.6900000000000002,-0.6593934230211177,,True
chai,tilt,1.4000000000000001,1.3703249111057265,1.9600000000000004,-0.6593934230211177,,True
chai,tilt,1.5,1.3703249111057265,2.25,-0.6593934230211177,,True
chai,tilt,1.6,1.3703249111057265,2.5600000000000005,-0.6593934230211177,,True
chai,tilt,1.7000000000000002,1.3703249111057265,2.8900000000000006,-0.6593934230211177,,True
chai,tilt,1.8,1.3703249111057265,3.24,-0.6593934230211177,,True
chai,tilt,1.9000000000000001,1.3703249111057265,3.6100000000000003,-0.6593934230211177,,True
chai,tilt,2.0,1.3703249111057265,4.0,-0.6593934230211177,,True
chai,npxxy,0.0,27.27187972438473,0.0,0.36598313496415036,0.36598313496415036,False
chai,npxxy,0.1,27.27187972438473,0.010000000000000002,0.36598313496415036,0.3661173821762518,False
chai,npxxy,0.2,27.27187972438473,0.04000000000000001,0.36598313496415036,0.3665207153863148,False
chai,npxxy,0.30000000000000004,27.27187972438473,0.09000000000000002,0.36598313496415036,0.3671949158446766,False
chai,npxxy,0.4,27.27187972438473,0.16000000000000003,0.36598313496415036,0.36814297420029146,False
chai,npxxy,0.5,27.27187972438473,0.25,0.36598313496415036,0.3693691238248169,False
chai,npxxy,0.6000000000000001,27.27187972438473,0.3600000000000001,0.36598313496415036,0.37087888843571903,False
chai,npxxy,0.7000000000000001,27.27187972438473,0.4900000000000001,0.36598313496415036,0.37267914502684785,False
chai,npxxy,0.8,27.27187972438473,0.6400000000000001,0.36598313496415036,0.3747782034610463,False
chai,npxxy,0.9,27.27187972438473,0.81,0.36598313496415036,0.37718590447291606,False
chai,npxxy,1.0,27.27187972438473,1.0,0.36598313496415036,0.3799137382861676,False
chai,npxxy,1.1,27.27187972438473,1.2100000000000002,0.36598313496415036,0.3829749865876647,False
chai,npxxy,1.2000000000000002,27.27187972438473,1.4400000000000004,0.36598313496415036,0.38638489124249376,False
chai,npxxy,1.3,27.27187972438473,1.6900000000000002,0.36598313496415036,0.39016085391026234,False
chai,npxxy,1.4000000000000001,27.27187972438473,1.9600000000000004,0.36598313496415036,0.394322671669466,False
chai,npxxy,1.5,27.27187972438473,2.25,0.36598313496415036,0.39889281492184137,False
chai,npxxy,1.6,27.27187972438473,2.5600000000000005,0.36598313496415036,0.4038967552940402,False
